Description,Electricity_bill
Electricity Bill - Offices,1
Electricity Bill - Irrigation Pumps,1
Electricity Bill - Cold storage,1
Electric power consumption - Main facility,1
Monthly electricity charges,1
Power bill - Warehouse,1
Electrical utility payment,1
Energy bill - Processing plant,1
Electricity usage charges,1
Power consumption invoice,1
Electric service - Monthly,1
Utility bill for electricity,1
Electricity account payment,1
Power supply charges,1
Monthly electric bill,1
Electricity Bill - Manufacturing,1
Energy consumption - Factory,1
Electric meter reading charges,1
Power utility payment,1
Electricity invoice - Operations,1
Invoice #45-A Agricultural diesel,0
Payment for legal services,0
Purchase Ammonium Nitrate 10000tons,0
Tractor T-100 Maintenance,0
Invoice #88-B Diesel fuel,0
Office stationery purchase,0
Seed purchase - Wheat variety A,0
Water supply - Irrigation system,0
Pesticide purchase - Herbicide XL,0
Monthly salary payment,0
Insurance premium - Equipment,0
Fertilizer - Potassium mix,0
Harvester maintenance service,0
Accounting software subscription,0
Seed purchase - Corn hybrid B,0
Telephone and internet services,0
Fungicide treatment supplies,0
Warehouse rent payment,0
Irrigation system repair,0
Tax consulting services,0
Electricity costs - Building A,1
Power bill - Office complex,1
Electric utility - Monthly charge,1
Electricity payment - Facilities,1
Energy bill - Production floor,1
Monthly power invoice,1
Electricity charges - Operations,1
Utility electric service,1
Power consumption - Industrial,1
Electricity Bill - Workshop,1
Electric service charges,1
Monthly electricity invoice,1
Power supply bill,1
Electricity usage - Main site,1
Energy consumption charges,1
Electric utility bill - Monthly,1
Electricity payment invoice,1
Power charges - Facility,1
Monthly electric usage,1
Electricity Bill - Storage facility,1
Vehicle insurance premium,0
Office cleaning services,0
Fertilizer - Nitrogen compound,0
Packaging materials purchase,0
Tractor tire replacement,0
Laboratory soil testing,0
Grain storage facility maintenance,0
Pesticide purchase - Insecticide Pro,0
Office supplies and printer toner,0
Property tax payment,0
Seed purchase - Soybean premium,0
Temporary labor - Planting season,0
Fertilizer - Phosphate blend,0
Equipment transport services,0
Combine harvester annual service,0
Crop insurance premium,0
Irrigation pipe replacement,0
Safety equipment and workwear,0
Bank service charges,0
Pesticide purchase - Weed control,0
Electric bill - Administration,1
Power invoice - Production,1
Electricity charges - Plant,1
Monthly energy bill,1
Electric service payment,1
Electricity Bill - Laboratory,1
Power utility invoice,1
Energy charges - Operations,1
Electricity consumption bill,1
Electric power invoice,1
Monthly electricity payment,1
Power bill - Manufacturing unit,1
Electricity usage invoice,1
Energy bill - Warehouse,1
Electric utility charges,1
Electricity Bill - Pumping station,1
Power consumption charges,1
Monthly electric service,1
Electricity invoice - Building B,1
Energy supply charges,1
Packaging tape and boxes,0
Vehicle fleet maintenance,0
Legal consultation - Contracts,0
Fertilizer - Micronutrient mix,0
Temporary labor - Harvest season,0
Seed treatment chemicals,0
Transport fuel cards top-up,0
Grain dryer maintenance,0
Marketing and advertising,0
Office furniture replacement,0
Fuel purchase - Diesel,0
Machinery repair services,0
Building maintenance,0
Computer equipment purchase,0
Professional consulting fees,0
Annual insurance renewal,0
Pest control services,0
Waste disposal services,0
Security system maintenance,0
Printer lease payment,0
Electricity Bill - Greenhouse,1
Power charges - Facility management,1
Electric service - Industrial site,1
Monthly electricity bill - HQ,1
Energy invoice - Processing,1
Electricity payment - Utilities,1
Power bill - Production facility,1
Electric utility - Operations,1
Electricity charges - Main building,1
Monthly power charges,1
Energy consumption invoice,1
Electricity Bill - Workshop area,1
Power supply invoice,1
Electric service charges - Monthly,1
Electricity usage - Factory,1
Energy bill - Administrative,1
Power consumption - Warehouse,1
Electricity invoice - Industrial,1
Monthly electric charges,1
Electricity Bill - Cold room,1
Janitorial supplies,0
Fire extinguisher inspection,0
HVAC system maintenance,0
Plumbing repairs,0
Paint and hardware supplies,0
Landscaping services,0
Snow removal services,0
Window cleaning,0
Carpet cleaning services,0
Pest inspection,0
Roof maintenance,0
Door repair services,0
Lock replacement,0
Signage installation,0
Parking lot maintenance,0
Fence repair,0
Lighting fixture replacement,0
Flooring repairs,0
Elevator maintenance,0
Sprinkler system repair,0
Power bill - Storage warehouse,1
Electricity charges - Facility A,1
Monthly energy charges,1
Electric utility payment - Monthly,1
Electricity Bill - Processing unit,1
Power invoice - Operations,1
Energy bill - Manufacturing,1
Electricity consumption charges,1
Electric service - Facility,1
Monthly power bill,1
Electricity usage - Building C,1
Power supply charges - Monthly,1
Electricity invoice - Warehouse,1
Energy charges - Production,1
Electric bill - Operations center,1
Electricity Bill - Distribution center,1
Power charges - Industrial park,1
Monthly electricity usage,1
Energy invoice - Plant,1
Electricity payment - Facility B,1
IT support services,0
Software licensing fees,0
Cloud storage subscription,0
Network maintenance,0
Hardware upgrade costs,0
Cybersecurity services,0
Database management fees,0
Email hosting services,0
Domain registration,0
SSL certificate renewal,0
Backup services,0
Video conferencing subscription,0
Project management software,0
CRM system subscription,0
Antivirus software license,0
Web hosting fees,0
Technical training courses,0
IT consulting services,0
Server maintenance,0
VPN service subscription,0
Electric power bill - Main office,1
Electricity charges - Workshop B,1
Monthly power invoice - Factory,1
Energy bill - Facility management,1
Electricity Bill - Administration building,1
Power consumption - Plant operations,1
Electric utility - Industrial facility,1
Electricity payment - Production site,1
Monthly energy invoice,1
Power bill - Operations,1
Electricity usage charges - Monthly,1
Energy consumption - Warehouse facility,1
Electric service - Manufacturing plant,1
Electricity invoice - Cold storage unit,1
Power charges - Processing facility,1
Monthly electricity charges - Factory,1
Energy bill - Office building,1
Electricity Bill - Equipment room,1
Power supply - Operations center,1
Electric utility invoice - Production,1
Employee training programs,0
Health and safety equipment,0
First aid supplies,0
Uniforms and protective gear,0
Employee wellness program,0
Staff recognition awards,0
Team building activities,0
Professional development courses,0
Industry conference fees,0
Trade show participation,0
Business travel expenses,0
Hotel accommodations,0
Meal reimbursements,0
Transportation costs,0
Mileage reimbursement,0
Parking fees,0
Toll road charges,0
Rental car expenses,0
Flight tickets,0
Taxi and ride-sharing,0
Electricity Bill - Maintenance shop,1
Power invoice - Facility operations,1
Monthly electric bill - Plant,1
Energy charges - Warehouse operations,1
Electricity consumption - Office,1
Electric service payment - Monthly,1
Power bill - Processing area,1
Electricity charges - Distribution,1
Monthly energy bill - Manufacturing,1
Electric utility - Warehouse facility,1
Electricity invoice - Production floor,1
Power consumption charges - Factory,1
Energy bill - Industrial operations,1
Electricity Bill - Packing area,1
Monthly power charges - Facility,1
Electric service - Distribution center,1
Electricity payment - Workshop,1
Power supply invoice - Operations,1
Energy consumption - Processing plant,1
Electricity usage - Manufacturing unit,1
Office rent payment,0
Property lease,0
Equipment rental,0
Vehicle lease payment,0
Forklift rental,0
Generator rental,0
Scaffolding rental,0
Tool rental,0
Storage unit rental,0
Container rental,0
Trailer rental,0
Conference room rental,0
Event space rental,0
Temporary office rental,0
Parking space lease,0
Land lease payment,0
Billboard rental,0
Display booth rental,0
Audio equipment rental,0
Catering services,0
Power charges - Industrial facility,1
Electricity Bill - Quality control lab,1
Monthly electricity invoice - Warehouse,1
Energy bill - Operations facility,1
Electric utility charges - Monthly,1
Electricity payment - Processing,1
Power bill - Manufacturing area,1
Electricity consumption invoice - Factory,1
Electric service - Production facility,1
Monthly power payment,1
Electricity charges - Office complex,1
Energy invoice - Distribution,1
Power supply charges - Warehouse,1
Electricity Bill - Loading dock,1
Electric utility - Processing facility,1
Monthly energy charges - Operations,1
Electricity usage invoice - Plant,1
Power consumption - Office building,1
Energy bill - Facility operations,1
Electricity invoice - Manufacturing site,1
Legal filing fees,0
Patent application fees,0
Trademark registration,0
Notary services,0
Document translation,0
Courier services,0
Shipping and freight,0
Customs clearance fees,0
Import duties,0
Export documentation,0
Logistics services,0
Warehousing fees,0
Inventory management,0
Quality control inspection,0
Product testing services,0
Certification fees,0
Compliance auditing,0
Environmental assessment,0
Safety inspection,0
Equipment calibration,0
Electric power charges - Warehouse,1
Electricity Bill - Research facility,1
Monthly power bill - Operations,1
Energy consumption charges - Factory,1
Electricity payment invoice - Plant,1
Power invoice - Manufacturing,1
Electric service charges - Facility,1
Electricity usage - Production area,1
Monthly electricity bill - Distribution,1
Energy bill - Processing facility,1
Power supply invoice - Factory,1
Electricity charges - Storage area,1
Electric utility payment - Operations,1
Electricity Bill - Assembly line,1
Monthly energy invoice - Warehouse,1
Power consumption - Processing unit,1
Electricity invoice - Office facility,1
Energy charges - Manufacturing plant,1
Electric bill - Production center,1
Electricity payment - Industrial site,1
Advertising campaign,0
Social media marketing,0
Print advertising,0
Radio advertising,0
Television commercial,0
Online advertising,0
Billboard advertising,0
Promotional materials,0
Brochure printing,0
Business card printing,0
Catalog production,0
Website development,0
SEO services,0
Content creation,0
Graphic design services,0
Photography services,0
Video production,0
Market research,0
Customer survey,0
Brand consulting,0
Power bill - Office operations,1
Electricity charges - Production facility,1
Monthly electric service - Warehouse,1
Energy invoice - Manufacturing unit,1
Electricity Bill - Shipping area,1
Electric utility - Factory operations,1
Electricity consumption - Plant facility,1
Power charges - Operations building,1
Monthly electricity payment - Office,1
Energy bill - Distribution facility,1
Electricity usage charges - Warehouse,1
Power supply - Processing center,1
Electric service invoice - Factory,1
Electricity Bill - Testing laboratory,1
Monthly power invoice - Production,1
Energy consumption - Office operations,1
Electricity charges - Manufacturing site,1
Power bill - Facility management,1
Electric utility invoice - Warehouse,1
Electricity payment - Operations plant,1
Medical services,0
Health screening,0
Occupational health assessment,0
Drug testing services,0
Employee physical exams,0
Vaccination program,0
Mental health services,0
Physiotherapy services,0
Dental services,0
Vision care services,0
Hearing tests,0
Ergonomic assessment,0
Workplace wellness program,0
Gym membership,0
Nutrition counseling,0
Stress management workshop,0
Health insurance premium,0
Life insurance premium,0
Disability insurance,0
Workers compensation insurance,0
Electric power invoice - Manufacturing,1
Electricity Bill - Receiving area,1
Monthly energy bill - Factory operations,1
Power consumption charges - Warehouse,1
Electricity usage - Distribution center,1
Energy charges - Processing facility,1
Electric service payment - Operations,1
Electricity invoice - Production plant,1
Power bill - Industrial operations,1
Monthly electricity charges - Facility,1
Energy bill - Manufacturing center,1
Electricity payment - Warehouse facility,1
Power supply charges - Factory,1
Electric utility - Production area,1
Electricity Bill - Packaging line,1
Monthly power charges - Operations,1
Energy invoice - Office complex,1
Electricity consumption - Manufacturing,1
Power charges - Distribution facility,1
Electric bill - Processing operations,1
Accounting services,0
Bookkeeping services,0
Payroll processing,0
Tax preparation,0
Financial auditing,0
Budget consulting,0
Financial planning,0
Investment advisory,0
Credit check services,0
Collection agency fees,0
Bank loan interest,0
Credit card processing fees,0
Merchant services,0
Wire transfer fees,0
Currency exchange fees,0
Check printing,0
Cashier check fees,0
Safe deposit box,0
Treasury services,0
Financial software,0
Electricity charges - Factory floor,1
Power invoice - Warehouse operations,1
Monthly electric bill - Production,1
Energy bill - Distribution operations,1
Electricity Bill - Service area,1
Electric utility charges - Factory,1
Electricity payment - Manufacturing facility,1
Power consumption - Office complex,1
Monthly electricity usage - Operations,1
Energy invoice - Processing operations,1
Electricity invoice - Industrial facility,1
Power bill - Production operations,1
Electric service - Manufacturing center,1
Electricity charges - Warehouse facility,1
Monthly energy payment - Factory,1
Power supply invoice - Operations,1
Electricity Bill - Break room,1
Energy consumption charges - Plant,1
Electric utility - Distribution center,1
Electricity usage invoice - Manufacturing,1
Recruitment agency fees,0
Job posting fees,0
Background check services,0
Interview expenses,0
Relocation expenses,0
Signing bonus,0
Referral bonus,0
Performance bonus,0
Holiday bonus,0
Overtime payment,0
Commission payment,0
Profit sharing,0
Retirement contribution,0
Severance payment,0
Exit interview services,0
Outplacement services,0
HR consulting,0
Employee handbook printing,0
Personnel file management,0
Time tracking software,0
Power charges - Processing plant,1
Electricity Bill - Conference room,1
Monthly power bill - Factory operations,1
Energy charges - Warehouse management,1
Electricity consumption invoice - Operations,1
Electric service charges - Production,1
Electricity payment - Distribution site,1
Power invoice - Manufacturing facility,1
Monthly electricity bill - Industrial,1
Energy bill - Operations warehouse,1
Electricity usage - Factory floor,1
Power supply charges - Production,1
Electric utility payment - Facility,1
Electricity Bill - Machine shop,1
Monthly energy invoice - Operations,1
Power consumption - Manufacturing area,1
Electricity charges - Processing center,1
Energy invoice - Warehouse operations,1
Electric bill - Production facility,1
Electricity invoice - Factory operations,1
Cleaning supplies,0
Disinfectants and sanitizers,0
Paper products,0
Trash bags,0
Recycling services,0
Waste management,0
Hazardous waste disposal,0
Shredding services,0
Document storage,0
Records management,0
Archive services,0
Microfilm services,0
Scanning services,0
Data entry services,0
Transcription services,0
Translation services,0
Interpretation services,0
Proofreading services,0
Editing services,0
Writing services,0
Electric power bill - Production site,1
Electricity charges - Operations warehouse,1
Monthly power invoice - Distribution,1
Energy bill - Manufacturing operations,1
Electricity Bill - Tool room,1
Power consumption charges - Office,1
Electric utility - Processing operations,1
Electricity payment - Factory facility,1
Monthly electricity charges - Warehouse,1
Energy invoice - Industrial operations,1
Power bill - Production center,1
Electricity usage charges - Manufacturing,1
Electric service invoice - Operations,1
Electricity Bill - Inventory area,1
Monthly energy charges - Factory,1
Power supply - Distribution operations,1
Electricity consumption - Warehouse site,1
Energy charges - Processing facility,1
Electric utility invoice - Production,1
Electricity invoice - Operations center,1
Technical manuals,0
Industry publications,0
Trade magazines,0
Newspaper subscriptions,0
Journal subscriptions,0
Research reports,0
Market analysis,0
Competitive intelligence,0
Industry benchmarking,0
Statistical data,0
Reference books,0
Training materials,0
E-learning platform,0
Online courses,0
Certification programs,0
License renewals,0
Professional memberships,0
Chamber of commerce dues,0
Trade association fees,0
Industry awards entry fees,0
Power charges - Warehouse facility,1
Electricity Bill - Utility room,1
Monthly electric service - Production,1
Energy consumption - Factory operations,1
Electricity payment invoice - Distribution,1
Power invoice - Operations facility,1
Electric utility charges - Manufacturing,1
Electricity usage - Industrial site,1
Monthly electricity bill - Processing,1
Energy bill - Warehouse center,1
Power supply invoice - Factory,1
Electricity charges - Production area,1
Electric service payment - Facility,1
Electricity Bill - Compressor room,1
Monthly power payment - Operations,1
Energy invoice - Manufacturing facility,1
Power consumption - Distribution site,1
Electricity invoice - Warehouse operations,1
Energy charges - Factory management,1
Electric bill - Operations facility,1
Water and sewer charges,0
Natural gas bill,0
Propane delivery,0
Fuel oil delivery,0
Coal delivery,0
Biomass fuel,0
Steam supply,0
Compressed air service,0
Nitrogen supply,0
Oxygen supply,0
Welding gas,0
Industrial gases,0
Coolant supply,0
Lubricant purchase,0
Hydraulic fluid,0
Cutting fluid,0
Cleaning solvents,0
Degreasing chemicals,0
Industrial chemicals,0
Raw material purchase,0
Electricity payment - Manufacturing site,1
Power bill - Operations warehouse,1
Monthly electricity invoice - Factory,1
Energy bill - Distribution management,1
Electricity Bill - Control room,1
Electric utility - Production facility,1
Electricity consumption charges - Operations,1
Power charges - Processing operations,1
Monthly electric bill - Warehouse,1
Energy invoice - Factory floor,1
Electricity usage invoice - Production,1
Power supply charges - Manufacturing,1
Electric service - Distribution facility,1
Electricity Bill - Generator room,1
Monthly energy bill - Operations site,1
Power consumption - Warehouse complex,1
Electricity charges - Industrial park,1
Energy charges - Production operations,1
Electric utility payment - Factory,1
Electricity invoice - Processing plant,1
Component purchases,0
Spare parts inventory,0
Replacement parts,0
Consumable supplies,0
Fasteners and hardware,0
Bearings and seals,0
Filters and screens,0
Belts and chains,0
Motors and drives,0
Sensors and switches,0
Valves and fittings,0
Pipes and tubing,0
Cables and wiring,0
Circuit breakers,0
Fuses and relays,0
Connectors and terminals,0
Gaskets and O-rings,0
Adhesives and sealants,0
Cutting tools,0
Abrasives and grinding wheels,0
Power invoice - Factory management,1
Electricity charges - Warehouse district,1
Monthly power bill - Processing facility,1
Energy bill - Manufacturing warehouse,1
Electricity Bill - Electrical room,1
Electric utility charges - Operations,1
Electricity payment - Industrial facility,1
Power consumption invoice - Factory,1
Monthly electricity usage - Distribution,1
Energy invoice - Production warehouse,1
Electricity usage - Operations building,1
Power supply - Processing facility,1
Electric service charges - Warehouse,1
Electricity Bill - Battery room,1
Monthly energy charges - Production,1
Power bill - Factory operations,1
Electricity consumption - Distribution center,1
Energy charges - Manufacturing complex,1
Electric utility invoice - Operations,1
Electricity charges - Processing warehouse,1
Laboratory equipment maintenance,0
Calibration services,0
Metrology services,0
Testing equipment rental,0
Measurement instruments,0
Analysis services,0
Sample testing,0
Material analysis,0
Chemical analysis,0
Spectroscopy services,0
Chromatography services,0
Microscopy services,0
X-ray services,0
Ultrasonic testing,0
Magnetic particle testing,0
Dye penetrant testing,0
Eddy current testing,0
Radiographic testing,0
Hardness testing,0
Tensile testing,0
Electric power charges - Distribution,1
Electricity Bill - HVAC room,1
Monthly power invoice - Warehouse site,1
Energy consumption charges - Production,1
Electricity payment - Factory operations,1
Power charges - Manufacturing warehouse,1
Electric service invoice - Distribution,1
Electricity usage charges - Operations,1
Monthly electricity bill - Processing site,1
Energy bill - Industrial warehouse,1
Power supply invoice - Production,1
Electricity charges - Operations complex,1
Electric utility payment - Manufacturing,1
Electricity Bill - Boiler room,1
Monthly energy invoice - Distribution,1
Power consumption - Factory facility,1
Electricity invoice - Warehouse management,1
Energy charges - Operations district,1
Electric bill - Processing center,1
Electricity payment - Production warehouse,1
Foundry services,0
Casting services,0
Forging services,0
Stamping services,0
Machining services,0
Milling services,0
Turning services,0
Grinding services,0
Drilling services,0
Boring services,0
Welding services,0
Brazing services,0
Soldering services,0
Heat treatment,0
Annealing services,0
Hardening services,0
Tempering services,0
Carburizing services,0
Nitriding services,0
Surface treatment,0
Power bill - Manufacturing complex,1
Electricity charges - Processing district,1
Monthly electric service - Operations site,1
Energy invoice - Factory warehouse,1
Electricity Bill - Pump room,1
Electric utility - Distribution operations,1
Electricity consumption - Production site,1
Power invoice - Warehouse management,1
Monthly electricity payment - Manufacturing,1
Energy bill - Operations industrial park,1
Electricity usage - Factory facility,1
Power supply charges - Processing,1
Electric service payment - Distribution,1
Electricity Bill - Fan room,1
Monthly power charges - Warehouse,1
Energy consumption - Manufacturing site,1
Electricity charges - Production warehouse,1
Power charges - Operations center,1
Electric utility invoice - Factory,1
Electricity invoice - Distribution warehouse,1
Painting services,0
Powder coating,0
Electroplating,0
Galvanizing services,0
Anodizing services,0
Polishing services,0
Buffing services,0
Sandblasting services,0
Shot peening,0
Deburring services,0
Tumbling services,0
Vibratory finishing,0
Laser marking,0
Engraving services,0
Screen printing,0
Pad printing,0
Labeling services,0
Packaging design,0
Product assembly,0
Kit assembly,0
Electricity payment invoice - Operations,1
Power consumption charges - Distribution,1
Monthly electricity bill - Factory site,1
Energy bill - Warehouse industrial park,1
Electricity Bill - Chiller room,1
Electric utility charges - Processing,1
Electricity usage invoice - Production,1
Power bill - Operations facility,1
Monthly energy payment - Manufacturing,1
Energy invoice - Distribution warehouse,1
Electricity charges - Factory management,1
Power supply - Processing operations,1
Electric service - Warehouse district,1
Electricity Bill - Mechanical room,1
Monthly power bill - Production site,1
Energy consumption charges - Operations,1
Electricity invoice - Manufacturing district,1
Power charges - Factory warehouse,1
Electric utility payment - Distribution,1
Electricity consumption invoice - Processing,1